time,ax,ay,az,wx,wy,wz
0.007,-0.01,-0.04,0.31,-0.01,-0.03,0
0.008,-0.01,-0.04,0.31,0,0,0
0.008,-0.01,-0.04,0.31,0,0,0
0.008,-0.01,-0.04,0.31,0,0,0
0.008,-0.01,-0.04,0.31,0,0,0
0.009,-0.01,-0.04,0.31,0,0,0
0.009,-0.01,-0.04,0.31,0,0,0
0.009,0.03,-0.05,0.32,0,0,0
0.009,0.02,-0.05,0.32,0,0,0
0.009,0.02,-0.05,0.32,0,0,0
0.01,0.02,-0.05,0.32,0,0.01,0
0.01,0.02,-0.05,0.32,0.01,0.01,0
0.019,0.02,-0.05,0.32,0.01,0.02,0
0.02,0.02,-0.05,0.32,0.01,0.02,0
0.02,0.02,-0.05,0.32,0.01,0.02,0
0.02,0,-0.04,0.24,0.01,0.02,0
0.02,0,-0.04,0.24,0.02,0.03,0
0.02,0,-0.04,0.24,0.01,0.03,0
0.022,0,-0.04,0.24,0.02,0.03,0
0.024,0,-0.04,0.24,0.01,0.03,0
0.025,0.01,0,0.22,0.01,0.03,0
0.025,0.01,0,0.22,0.02,0.03,0
0.028,0.01,0,0.22,0.01,0.03,0
0.03,0.01,0,0.22,0.01,0.03,0
0.031,0.01,0,0.22,0.02,0.02,0
0.052,0.01,0,0.22,0.01,0.02,0
0.052,0.01,0,0.22,0.01,0.01,0
0.052,0.01,0,0.22,0,0.01,0
0.053,0.01,0,0.22,0.01,0.01,0
0.053,0.01,0,0.22,0.01,0.01,0
0.053,0.01,0,0.22,0.01,0.01,0
0.053,0.01,0,0.22,0.01,0.01,0
0.053,0.01,0,0.22,0,0,0
0.053,0,0.05,0.2,0,0,0
0.054,0,0.05,0.2,0,0,0
0.054,0,0.05,0.2,0,0,0
0.054,0,0.05,0.2,0,0,0
0.054,0,0.05,0.2,0,0,0
0.056,0,0.05,0.2,0,-0.01,0
0.057,-0.01,0.02,0.2,0,-0.01,0
0.057,-0.01,0.02,0.2,0,-0.01,0
0.057,-0.01,0.02,0.2,-0.01,-0.01,0
0.06,-0.01,0.02,0.2,0,-0.01,0
0.061,-0.01,0.02,0.2,-0.01,-0.01,0
0.066,-0.01,0.02,0.2,-0.01,-0.01,0
0.066,0,-0.01,0.22,-0.01,-0.01,0
0.066,0,-0.01,0.22,-0.01,-0.02,0
0.068,0,-0.01,0.22,-0.01,-0.02,0
0.07,0,-0.01,0.22,-0.01,-0.02,0
0.072,0,-0.01,0.22,-0.01,-0.02,0
0.085,0,-0.01,0.22,-0.01,-0.02,0
0.086,0,-0.01,0.22,-0.01,-0.01,0
0.086,0,-0.01,0.22,-0.01,-0.01,0
0.086,0,-0.01,0.22,-0.01,-0.01,0
0.087,0,-0.01,0.22,-0.01,-0.01,0
0.088,0,-0.01,0.22,-0.01,-0.01,0
0.088,0,-0.01,0.22,0,-0.01,0
0.088,0.02,-0.02,0.25,0,-0.01,0
0.088,0.02,-0.02,0.25,0,-0.01,0
0.088,0.02,-0.02,0.25,0,-0.01,0
0.089,0.02,-0.02,0.25,0,-0.01,0
0.092,0.02,-0.02,0.25,0,-0.01,0
0.095,0.02,-0.02,0.25,0,0,0
0.096,0.02,-0.02,0.25,0,0,0
0.096,-0.01,-0.04,0.24,0,0,0
0.097,-0.01,-0.04,0.24,0,0,0
0.099,-0.01,-0.04,0.24,0,0,0
0.101,-0.01,-0.04,0.24,0,0,0
0.104,-0.01,-0.04,0.24,0,0,0
0.104,0.01,-0.07,0.2,0,0,0
0.105,0.01,-0.07,0.2,0,0.01,0
0.107,0.01,-0.07,0.2,0,0.01,0
0.109,0.01,-0.07,0.2,0,0,0
0.112,0.01,-0.07,0.2,0,0.01,0
0.126,0.01,-0.07,0.2,0.01,0.01,0
0.127,0.01,-0.07,0.2,0,0.01,0
0.127,0.01,-0.07,0.2,0,0.01,0
0.127,0.01,-0.07,0.2,0,0.01,0
