time,ax,ay,az,wx,wy,wz
0.001,0.01,0,0.14,-0.04,-0.08,0
0.002,0.01,0,0.14,-0.02,-0.04,0
0.002,0.01,0,0.14,-0.02,-0.04,0
0.002,0.01,0,0.14,-0.02,-0.03,0
0.002,0.01,0,0.14,-0.01,-0.03,0
0.002,0.01,0,0.14,-0.01,-0.03,0
0.002,0.01,0,0.14,-0.01,-0.03,0
0.003,0.02,-0.02,0.22,-0.01,-0.03,0
0.003,0.01,-0.01,0.22,-0.01,-0.03,0
0.003,0.01,-0.01,0.22,-0.01,-0.02,0
0.003,0.01,-0.01,0.22,-0.01,-0.01,0
0.004,0.01,-0.01,0.22,0,0,0
0.007,0.01,-0.01,0.22,0,0.01,0
0.007,0.01,-0.02,0.25,0,0.01,0
0.008,0.01,-0.02,0.25,0.01,0.01,0
0.01,0.01,-0.02,0.25,0.01,0.02,0
0.014,0.01,-0.02,0.25,0.01,0.03,0
0.015,0.01,-0.02,0.25,0.02,0.03,0
0.017,0.01,-0.02,0.25,0.02,0.04,0
0.017,0.01,-0.02,0.26,0.02,0.04,0
0.018,0.01,-0.02,0.26,0.02,0.04,0
0.02,0.01,-0.02,0.26,0.03,0.05,0
0.022,0.01,-0.02,0.26,0.02,0.04,0
0.024,0.01,-0.02,0.26,0.02,0.05,0
0.039,0.01,-0.02,0.26,0.03,0.05,0
0.039,0.01,-0.02,0.26,0.02,0.04,0
0.04,0.01,-0.02,0.26,0.02,0.04,0
0.04,0.01,-0.02,0.26,0.02,0.03,0
0.04,0.01,-0.02,0.26,0.02,0.03,0
0.04,0.01,-0.02,0.26,0.02,0.03,0
0.04,0.01,-0.02,0.26,0.02,0.03,0
0.04,0,-0.02,0.23,0.02,0.03,0
0.041,0,-0.02,0.23,0.02,0.03,0
0.041,0,-0.02,0.23,0.02,0.03,0
0.042,0,-0.02,0.23,0.01,0.02,0
0.044,0,-0.02,0.23,0.01,0.01,0
0.047,0,-0.02,0.23,0.01,0.02,0
0.048,0,-0.02,0.22,0.01,0.02,0
0.049,0,-0.02,0.22,0.01,0.01,0
0.05,0,-0.02,0.22,0,0,0
0.052,0,-0.02,0.22,0,0,0
0.054,0,-0.02,0.22,0,0,0
0.057,0,-0.02,0.22,0,-0.01,0
0.057,0,-0.02,0.21,0,-0.01,0
0.058,0,-0.02,0.21,-0.01,-0.01,0
0.06,0,-0.02,0.21,-0.01,-0.01,0
0.062,0,-0.02,0.21,-0.01,-0.02,0
0.064,0,-0.02,0.21,0,-0.02,0
0.079,0,-0.02,0.21,-0.01,-0.03,0
0.079,0,-0.02,0.21,-0.02,-0.03,0
0.079,0,-0.02,0.21,-0.02,-0.03,0
0.08,0,-0.02,0.21,-0.02,-0.03,0
0.08,0,-0.02,0.21,-0.02,-0.03,0
0.08,0,-0.02,0.21,-0.01,-0.02,0
0.08,0,-0.02,0.21,-0.01,-0.03,0
0.08,0,-0.01,0.22,-0.01,-0.03,0
0.081,-0.01,-0.01,0.22,-0.01,-0.03,0
0.081,-0.01,-0.01,0.22,-0.01,-0.03,0
0.082,-0.01,-0.01,0.22,-0.01,-0.02,0
0.084,-0.01,-0.01,0.22,-0.01,-0.02,0
0.087,-0.01,-0.01,0.22,-0.01,-0.02,0
0.088,0,-0.01,0.23,-0.01,-0.02,0
0.088,0,-0.01,0.23,-0.01,-0.01,0
0.09,0,-0.01,0.23,-0.01,-0.01,0
0.092,0,-0.01,0.23,0,-0.01,0
0.094,0,-0.01,0.23,0,-0.01,0
0.102,0,-0.01,0.23,0,-0.01,0
0.103,0,-0.01,0.24,0,-0.01,0
0.103,0,-0.01,0.24,0,0,0
0.103,0,-0.01,0.24,0,0,0
0.103,0,-0.01,0.24,0,0,0
0.104,0,-0.01,0.24,0,0.01,0
0.12,0,-0.01,0.24,0,0.01,0
0.12,0,-0.01,0.24,0.01,0.01,0
0.121,0,-0.01,0.24,0.01,0.01,0
0.121,0,-0.01,0.24,0.01,0.01,0
0.121,0,-0.01,0.24,0.01,0.01,0
0.121,0,-0.01,0.24,0.01,0.01,0
0.121,0,-0.01,0.24,0.01,0.01,0
0.121,0,-0.02,0.22,0.01,0.01,0
0.122,0,-0.02,0.22,0.01,0.01,0
0.122,0,-0.02,0.22,0.01,0.01,0
0.122,0,-0.02,0.22,0.01,0.01,0
0.124,0,-0.02,0.22,0.01,0.01,0
0.127,0,-0.02,0.22,0.01,0.01,0
0.127,0,-0.02,0.22,0.01,0.01,0
0.129,0,-0.02,0.22,0.01,0.01,0
0.131,0,-0.02,0.22,0,0.01,0
0.132,0,-0.02,0.22,0,0.01,0
0.134,0,-0.02,0.22,0.01,0.01,0
0.137,0,-0.02,0.22,0,0.01,0
0.137,0,-0.02,0.22,0,0.01,0
0.138,0,-0.02,0.22,0,0,0
0.14,0,-0.02,0.22,0,0,0
0.142,0,-0.02,0.22,0,0,0
0.144,0,-0.02,0.22,0,0,0
0.159,0,-0.02,0.22,0,0,0
0.16,0,-0.02,0.22,0,-0.01,0
0.16,0,-0.02,0.22,0,-0.01,0
0.16,0,-0.02,0.22,0,-0.01,0
0.16,0,-0.02,0.22,0,-0.01,0
0.16,0,-0.02,0.22,0,-0.01,0
0.161,0,-0.02,0.22,0,-0.01,0
0.161,0,-0.02,0.23,0,-0.01,0
0.161,0,-0.02,0.23,0,-0.01,0
0.161,0,-0.02,0.23,0,-0.01,0
0.161,0,-0.02,0.23,-0.01,-0.01,0
0.169,0,-0.02,0.23,0,-0.01,0
0.172,0,-0.02,0.23,0,0,0
0.172,0,-0.02,0.23,0,-0.01,0
0.172,0,-0.02,0.23,0,-0.01,0
0.173,0,-0.02,0.23,0,-0.01,0
0.173,0,-0.02,0.23,0,-0.01,0
0.173,0,-0.02,0.23,0,-0.01,0
0.174,0,-0.02,0.23,0,-0.01,0
0.177,0,-0.02,0.23,0,0,0
0.177,0,-0.02,0.23,0,0,0
0.179,0,-0.02,0.23,0,0,0
0.18,0,-0.02,0.23,0,0,0
0.183,0,-0.02,0.23,0,0,0
0.185,0,-0.02,0.23,0,0,0
0.199,0,-0.02,0.23,0,0,0
0.199,0,-0.02,0.23,0,0,0
0.199,0,-0.02,0.23,0,0,0
0.199,0,-0.02,0.23,0,0,0
0.199,0,-0.02,0.23,0,0,0
0.2,0,-0.02,0.23,0,0,0
0.2,0,-0.02,0.23,0,0,0
0.2,-0.01,-0.01,0.23,0,0,0
0.2,-0.01,-0.01,0.23,0,0,0
0.2,-0.01,-0.01,0.23,0,0,0
0.202,-0.01,-0.01,0.23,0,0.01,0
0.204,-0.01,-0.01,0.23,0,0,0
0.207,-0.01,-0.01,0.23,0,0,0
0.208,0,-0.01,0.24,0,0,0
0.208,0,-0.01,0.24,0,0,0
0.21,0,-0.01,0.24,0,0,0
0.212,0,-0.01,0.24,0,0,0
0.214,0,-0.01,0.24,0,0,0
0.217,0,-0.01,0.24,0,0,0
0.217,0,-0.01,0.24,0,0,0
0.218,0,-0.01,0.24,0,0,0
0.22,0,-0.01,0.24,0,0,0
0.222,0,-0.01,0.24,0,0,0
0.224,0,-0.01,0.24,0,0,0
0.239,0,-0.01,0.24,0,0,0
0.239,0,-0.01,0.24,0,0,0
0.239,0,-0.01,0.24,0,0,0
0.24,0,-0.01,0.24,0,0,0
0.24,0,-0.01,0.24,0,0,0
0.24,0,-0.01,0.24,0,0,0
0.24,0,-0.01,0.24,0,0,0
0.24,0.01,-0.01,0.23,0,0,0
0.241,0.01,-0.01,0.23,0,0,0
0.241,0.01,-0.01,0.23,0,0,0
0.242,0.01,-0.01,0.23,0,0,0
0.244,0.01,-0.01,0.23,0,0,0
0.247,0.01,-0.01,0.23,0,0,0
0.247,0.01,-0.01,0.22,0,0,0
0.248,0.01,-0.01,0.22,0,0,0
0.25,0.01,-0.01,0.22,0,0,0
0.252,0.01,-0.01,0.22,0,0,0
0.254,0.01,-0.01,0.22,0,0,0
0.257,0.01,-0.01,0.22,0,0,0
0.257,0.01,-0.01,0.22,0,0,0
0.258,0.01,-0.01,0.22,0,0,0
0.26,0.01,-0.01,0.22,0,0,0
0.262,0.01,-0.01,0.22,0,0,0
0.264,0.01,-0.01,0.22,0,0,0
0.279,0.01,-0.01,0.22,0,0,0
0.279,0.01,-0.01,0.22,0,0,0
0.28,0.01,-0.01,0.22,0,0,0
0.28,0.01,-0.01,0.22,0,0,0
0.28,0.01,-0.01,0.22,0,0,0
0.28,0.01,-0.01,0.22,0,0,0
0.28,0.01,-0.01,0.22,0,0,0
0.281,0.01,-0.02,0.22,0,0,0
0.281,0.01,-0.02,0.22,0,0,0
0.281,0.01,-0.02,0.22,0,0,0
0.281,0.01,-0.02,0.22,0,0,0
0.282,0.01,-0.02,0.22,0,0,0
0.284,0.01,-0.02,0.22,0,0,0
0.287,0.01,-0.02,0.22,0,0,0
0.287,0.01,-0.02,0.22,0,0,0
0.288,0.01,-0.02,0.22,0,0,0
0.29,0.01,-0.02,0.22,0,0,0
0.292,0.01,-0.02,0.22,0,0,0
0.294,0.01,-0.02,0.22,0,0,0
0.298,0.01,-0.02,0.22,0,0,0
0.298,0,-0.02,0.22,0,0,0
0.299,0,-0.02,0.22,0,0,0
0.301,0,-0.02,0.22,0,0,0
0.302,0,-0.02,0.22,0,0,0
0.304,0,-0.02,0.22,0,0,0
0.32,0,-0.02,0.22,0,0,0
0.32,0,-0.02,0.22,0,0,0
0.321,0,-0.02,0.22,0,0,0
0.321,0,-0.02,0.22,0,0,0
0.321,0,-0.02,0.22,0,0,0
0.321,0,-0.02,0.22,0,0,0
0.321,0,-0.02,0.22,0,0,0
0.321,0.01,-0.02,0.23,0,0,0
0.321,0.01,-0.02,0.23,0,0,0
0.321,0.01,-0.02,0.23,0,0,0
0.322,0.01,-0.02,0.23,0,0,0
0.324,0.01,-0.02,0.23,0,0,0
0.327,0.01,-0.02,0.23,0,0,0
0.328,0.01,-0.02,0.23,0,0,0
0.33,0.01,-0.02,0.23,0,0,0
0.331,0.01,-0.02,0.23,0,0,0
0.332,0.01,-0.02,0.23,0,0,0
0.334,0.01,-0.02,0.23,0,0,0
0.337,0.01,-0.02,0.23,0,0,0
0.337,0.01,-0.02,0.23,0,0,0
0.338,0.01,-0.02,0.23,0,0,0
0.34,0.01,-0.02,0.23,0,0,0
0.341,0.01,-0.02,0.23,0,0,0
0.344,0.01,-0.02,0.23,0,0,0
0.359,0.01,-0.02,0.23,0,0,0
0.36,0.01,-0.02,0.23,0,0,0
0.36,0.01,-0.02,0.23,0,0,0
0.36,0.01,-0.02,0.23,0,0,0
0.36,0.01,-0.02,0.23,0,0,0
0.36,0.01,-0.02,0.23,0,0,0
0.361,0.01,-0.02,0.23,0,0,0
0.361,0.01,-0.01,0.23,0,0,0
0.361,0.01,-0.01,0.23,0,0,0
0.361,0.01,-0.01,0.23,0,0,0
0.371,0.01,-0.01,0.23,0,0,0
0.371,0.01,-0.01,0.23,0,0,0
0.371,0.01,-0.01,0.23,0,0,0
0.372,0.01,-0.01,0.22,0,0,0
0.372,0.01,-0.01,0.22,0,0,0
0.372,0.01,-0.01,0.22,0,0,0
0.372,0.01,-0.01,0.22,0,0,0
0.374,0.01,-0.01,0.22,0,0,0
0.377,0.01,-0.01,0.22,0,0,0
