time,ax,ay,az,wx,wy,wz,participant,label,type
0 days 00:00:00.009000,0.0,-0.01,0.19,-0.02,-0.04,0.0,Ali,1,0
0 days 00:00:00.010000,0.0,-0.01,0.19,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.013000,0.02,0.0,0.22,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.017000,0.02,0.0,0.22,0.01,0.01,0.0,Ali,1,0
0 days 00:00:00.020000,0.01,0.0,0.26,0.01,0.02,0.0,Ali,1,0
0 days 00:00:00.022000,0.01,0.0,0.26,0.01,0.02,0.0,Ali,1,0
0 days 00:00:00.024000,0.01,0.0,0.26,0.01,0.03,0.0,Ali,1,0
0 days 00:00:00.036000,0.01,0.0,0.26,0.02,0.03,0.0,Ali,1,0
0 days 00:00:00.037000,0.0,-0.02,0.18,0.01,0.03,0.0,Ali,1,0
0 days 00:00:00.050000,0.0,-0.02,0.18,0.02,0.02,0.0,Ali,1,0
0 days 00:00:00.051000,0.0,-0.02,0.18,0.01,0.01,0.0,Ali,1,0
0 days 00:00:00.052000,0.04,0.01,0.02,0.0,0.01,0.0,Ali,1,0
0 days 00:00:00.053000,0.04,0.0,0.02,0.01,0.01,0.0,Ali,1,0
0 days 00:00:00.057000,0.04,0.0,0.02,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.059000,0.03,0.01,0.06,-0.01,-0.01,0.0,Ali,1,0
0 days 00:00:00.062000,0.03,0.01,0.06,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.063000,0.03,0.01,0.06,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.067000,0.03,0.01,0.06,0.0,-0.02,0.0,Ali,1,0
0 days 00:00:00.070000,0.03,-0.01,0.12,-0.01,-0.01,0.0,Ali,1,0
0 days 00:00:00.071000,0.03,-0.01,0.12,-0.01,-0.02,0.0,Ali,1,0
0 days 00:00:00.073000,0.03,-0.01,0.12,-0.01,-0.02,0.0,Ali,1,0
0 days 00:00:00.088000,0.03,-0.01,0.12,-0.01,-0.02,0.0,Ali,1,0
0 days 00:00:00.089000,0.03,-0.01,0.12,0.0,-0.02,0.0,Ali,1,0
0 days 00:00:00.090000,0.03,-0.01,0.12,-0.01,-0.01,0.0,Ali,1,0
0 days 00:00:00.091000,0.04,0.0,0.13,-0.01,-0.01,0.0,Ali,1,0
0 days 00:00:00.096000,0.04,0.0,0.13,0.0,-0.01,0.0,Ali,1,0
0 days 00:00:00.098000,0.04,0.0,0.13,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.099000,0.01,-0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.100000,0.01,-0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.102000,0.01,-0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.104000,0.01,-0.01,0.21,0.0,0.0,0.0,Ali,1,0
0 days 00:00:00.106000,0.01,-0.01,0.21,0.01,0.0,0.0,Ali,1,0
0 days 00:00:00.107000,0.0,0.0,0.25,0.01,0.0,0.0,Ali,1,0
0 days 00:00:00.108000,0.0,0.0,0.25,0.0,0.0,0.0,Ali,1,0
